OPERADOR;SERVICIO;INDICATIVO;BLOQUE;MODALIDAD;LOCALIDAD
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;4448;BASICA;TRELEW
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;291;494;BASICA;TORNQUIST
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;443;BASICA;TRELEW
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;263;446;BASICA;PALMIRA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2346;4960;BASICA;PALEMON HUERGO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2982;42;BASICA;ORENSE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2302;4806;BASICA;TREBOLARES
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;4444;BASICA;TRELEW
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;280;442;BASICA;TRELEW
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3584;495;MPP;LA CARLOTA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2953;490;BASICA;TOMAS M. DE ANCHORENA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2921;497;BASICA;BALNEARIO PEHUEN CO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3754;450;MPP;SAN JAVIER (PROV.  MISIONES)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;299;4908;BASICA;BARDA DEL MEDIO
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2966;460;MPP;RIO GALLEGOS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;381;470;MPP;SAN MIGUEL DE TUCUMAN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;381;4897;MPP;SAN MIGUEL DE TUCUMAN
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;336;4498;MPP;SAN NICOLAS
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2964;460;MPP;RIO GRANDE (PROV.  TIERRA DEL FUEGO)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;299;4828;BASICA;BARDA DEL MEDIO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;261;4997;BASICA;BARRANCAS (PROV.  MENDOZA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3329;450;MPP;SAN PEDRO (PROV.  BUENOS AIRES)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2934;497;BASICA;BALNEARIO LAS GRUTAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3888;483;MPP;SAN PEDRO (PROV.  JUJUY)
