Year,Quarter,Province,Access per 100 households,Access per 100 households [Proyected 2%],Access per 100 households [Previous Quarter],Incremental Percentage
2016,2,Catamarca,26.07,26.59,25.91,0.62
2016,2,Chaco,28.59,29.16,28.08,1.82
2016,2,Chubut,36.12,36.84,36.09,0.08
2016,2,Córdoba,57.55,58.7,55.28,4.11
2016,2,Corrientes,30.58,31.19,30.08,1.66
2016,2,Entre Ríos,44.74,45.63,43.85,2.03
2016,2,Formosa,19.37,19.76,19.04,1.73
2016,2,Jujuy,21.89,22.33,21.41,2.24
2016,2,La Pampa,60.44,61.65,57.84,4.5
2016,2,La Rioja,16.88,17.22,16.83,0.3
2016,2,Mendoza,32.13,32.77,32.12,0.03
2016,2,Misiones,29.24,29.82,28.37,3.07
2016,2,Neuquén,59.1,60.28,55.75,6.01
2016,2,Río Negro,46.24,47.16,45.84,0.87
2016,2,Salta,32.08,32.72,31.32,2.43
2016,2,San Juan,27.34,27.89,27.33,0.04
2016,2,San Luis,9.6,9.79,9.59,0.1
2016,2,Santa Cruz,26.73,27.26,26.87,-0.52
2016,2,Santa Fe,52.44,53.49,51.28,2.26
2016,2,Santiago Del Estero,15.89,16.21,16.21,-1.97
2016,2,Tierra Del Fuego,67.72,69.07,65.83,2.87
2016,2,Tucumán,37.24,37.98,36.72,1.42
2016,3,Buenos Aires,60.14,61.34,59.34,1.35
2016,3,Catamarca,26.48,27.01,26.07,1.57
2016,3,Chaco,28.91,29.49,28.59,1.12
2016,3,Chubut,36.18,36.9,36.12,0.17
2016,3,Córdoba,58.24,59.4,57.55,1.2
2016,3,Corrientes,31.07,31.69,30.58,1.6
2016,3,Entre Ríos,45.44,46.35,44.74,1.56
2016,3,Formosa,18.64,19.01,19.37,-3.77
2016,3,Jujuy,22.61,23.06,21.89,3.29
2016,3,La Pampa,61.73,62.96,60.44,2.13
2016,3,La Rioja,17.07,17.41,16.88,1.13
2016,3,Mendoza,32.09,32.73,32.13,-0.12
2016,3,Misiones,29.91,30.51,29.24,2.29
2016,3,Neuquén,60.21,61.41,59.1,1.88
2016,3,Río Negro,46.39,47.32,46.24,0.32
2016,3,Salta,32.96,33.62,32.08,2.74
2016,3,San Juan,27.32,27.87,27.34,-0.07
2016,3,San Luis,9.63,9.82,9.6,0.31
2016,3,Santa Cruz,26.84,27.38,26.73,0.41
2016,3,Santa Fe,52.67,53.72,52.44,0.44
2016,3,Santiago Del Estero,15.33,15.64,15.89,-3.52
2016,3,Tierra Del Fuego,68.94,70.32,67.72,1.8
2016,3,Tucumán,37.9,38.66,37.24,1.77
2016,4,Buenos Aires,61.24,62.46,60.14,1.83
2016,4,Catamarca,26.54,27.07,26.48,0.23
2016,4,Chaco,28.79,29.37,28.91,-0.42
2016,4,Chubut,36.07,36.79,36.18,-0.3
2016,4,Córdoba,57.7,58.85,58.24,-0.93
2016,4,Corrientes,30.98,31.6,31.07,-0.29
2016,4,Entre Ríos,45.21,46.11,45.44,-0.51
2016,4,Formosa,19.85,20.25,18.64,6.49
2016,4,Jujuy,22.65,23.1,22.61,0.18
2016,4,La Pampa,63.02,64.28,61.73,2.09
2016,4,La Rioja,16.46,16.79,17.07,-3.57
2016,4,Mendoza,32.11,32.75,32.09,0.06
2016,4,Misiones,29.72,30.31,29.91,-0.64
2016,4,Neuquén,60.87,62.09,60.21,1.1
2016,4,Río Negro,46.39,47.32,46.39,0.0
2016,4,Salta,32.69,33.34,32.96,-0.82
2016,4,San Juan,27.29,27.84,27.32,-0.11
2016,4,San Luis,9.64,9.83,9.63,0.1
2016,4,Santa Cruz,27.05,27.59,26.84,0.78
2016,4,Santa Fe,52.19,53.23,52.67,-0.91
2016,4,Santiago Del Estero,15.07,15.37,15.33,-1.7
2016,4,Tierra Del Fuego,70.31,71.72,68.94,1.99
2016,4,Tucumán,37.98,38.74,37.9,0.21
2017,1,Buenos Aires,58.57,59.74,51.28,14.22
2017,1,Catamarca,25.66,26.17,16.21,58.3
2017,1,Chaco,28.62,29.19,65.83,-56.52
2017,1,Chubut,35.66,36.37,36.72,-2.89
2017,1,Córdoba,57.65,58.8,58.57,-1.57
2017,1,Corrientes,30.94,31.56,25.66,20.58
2017,1,Entre Ríos,44.91,45.81,28.62,56.92
2017,1,Formosa,19.84,20.24,35.66,-44.36
2017,1,Jujuy,22.76,23.22,57.65,-60.52
2017,1,La Pampa,62.67,63.92,30.94,102.55
2017,1,La Rioja,16.2,16.52,44.91,-63.93
2017,1,Mendoza,31.84,32.48,19.84,60.48
2017,1,Misiones,29.52,30.11,22.76,29.7
2017,1,Neuquén,61.02,62.24,62.67,-2.63
2017,1,Río Negro,46.03,46.95,16.2,184.14
2017,1,Salta,32.58,33.23,31.84,2.32
2017,1,San Juan,27.04,27.58,29.52,-8.4
2017,1,San Luis,9.55,9.74,61.02,-84.35
2017,1,Santa Cruz,26.52,27.05,46.03,-42.39
2017,1,Santa Fe,51.97,53.01,32.58,59.52
2017,1,Santiago Del Estero,14.7,14.99,27.04,-45.64
2017,1,Tierra Del Fuego,68.92,70.3,9.55,621.68
2017,1,Tucumán,37.9,38.66,26.52,42.91
2017,2,Buenos Aires,56.27,57.4,58.57,-3.93
2017,2,Catamarca,25.98,26.5,25.66,1.25
2017,2,Chaco,29.05,29.63,28.62,1.5
2017,2,Chubut,35.55,36.26,35.66,-0.31
2017,2,Córdoba,58.97,60.15,57.65,2.29
2017,2,Corrientes,31.39,32.02,30.94,1.45
2017,2,Entre Ríos,45.39,46.3,44.91,1.07
2017,2,Formosa,19.97,20.37,19.84,0.66
2017,2,Jujuy,22.4,22.85,22.76,-1.58
2017,2,La Pampa,63.49,64.76,62.67,1.31
2017,2,La Rioja,16.2,16.52,16.2,0.0
2017,2,Mendoza,31.76,32.4,31.84,-0.25
2017,2,Misiones,30.09,30.69,29.52,1.93
2017,2,Neuquén,61.91,63.15,61.02,1.46
2017,2,Río Negro,46.02,46.94,46.03,-0.02
2017,2,Salta,32.74,33.39,32.58,0.49
2017,2,San Juan,26.96,27.5,27.04,-0.3
2017,2,San Luis,9.51,9.7,9.55,-0.42
2017,2,Santa Cruz,26.25,26.78,26.52,-1.02
2017,2,Santa Fe,52.27,53.32,51.97,0.58
2017,2,Santiago Del Estero,14.12,14.4,14.7,-3.95
2017,2,Tierra Del Fuego,68.46,69.83,68.92,-0.67
2017,2,Tucumán,38.19,38.95,37.9,0.77
2017,3,Buenos Aires,55.63,56.74,56.27,-1.14
2017,3,Catamarca,32.49,33.14,25.98,25.06
2017,3,Chaco,29.98,30.58,29.05,3.2
2017,3,Chubut,46.22,47.14,35.55,30.01
2017,3,Córdoba,62.31,63.56,58.97,5.66
2017,3,Corrientes,32.17,32.81,31.39,2.48
2017,3,Entre Ríos,45.96,46.88,45.39,1.26
2017,3,Formosa,21.35,21.78,19.97,6.91
2017,3,Jujuy,22.65,23.1,22.4,1.12
2017,3,La Pampa,69.14,70.52,63.49,8.9
2017,3,La Rioja,51.47,52.5,16.2,217.72
2017,3,Mendoza,35.7,36.41,31.76,12.41
2017,3,Misiones,30.21,30.81,30.09,0.4
2017,3,Neuquén,60.83,62.05,61.91,-1.74
2017,3,Río Negro,48.52,49.49,46.02,5.43
2017,3,Salta,39.84,40.64,32.74,21.69
2017,3,San Juan,32.37,33.02,26.96,20.07
2017,3,San Luis,15.48,15.79,9.51,62.78
2017,3,Santa Cruz,33.29,33.96,26.25,26.82
2017,3,Santa Fe,60.91,62.13,52.27,16.53
2017,3,Santiago Del Estero,35.12,35.82,14.12,148.73
2017,3,Tierra Del Fuego,65.74,67.05,68.46,-3.97
2017,3,Tucumán,39.7,40.49,38.19,3.95
2017,4,Buenos Aires,57.61,58.76,55.63,3.56
2017,4,Catamarca,28.62,29.19,32.49,-11.91
2017,4,Chaco,30.81,31.43,29.98,2.77
2017,4,Chubut,51.46,52.49,46.22,11.34
2017,4,Córdoba,63.33,64.6,62.31,1.64
2017,4,Corrientes,32.52,33.17,32.17,1.09
2017,4,Entre Ríos,47.89,48.85,45.96,4.2
2017,4,Formosa,21.27,21.7,21.35,-0.37
2017,4,Jujuy,22.74,23.19,22.65,0.4
2017,4,La Pampa,71.05,72.47,69.14,2.76
2017,4,La Rioja,51.57,52.6,51.47,0.19
2017,4,Mendoza,33.33,34.0,35.7,-6.64
2017,4,Misiones,31.14,31.76,30.21,3.08
2017,4,Neuquén,61.24,62.46,60.83,0.67
